Status,Category,Subtopic,Problem #,Problem Name,Topics,Est Time,XP,Open Link
Unsolved,KINGDOM 1 — THE KINGDOM OF ARRAYS,Pattern 1.1 — Basic Array Traversal,263A,Beautiful Matrix,implementation,15,10,https://codeforces.com/problemset/problem/263/A
Unsolved,KINGDOM 1 — THE KINGDOM OF ARRAYS,Pattern 1.1 — Basic Array Traversal,266A,Stones on the Table,implementation,15,10,https://codeforces.com/problemset/problem/266/A
Unsolved,KINGDOM 1 — THE KINGDOM OF ARRAYS,Pattern 1.1 — Basic Array Traversal,339A,Helpful Maths,"greedy, implementation, sortings, strings",15,10,https://codeforces.com/problemset/problem/339/A
Unsolved,KINGDOM 1 — THE KINGDOM OF ARRAYS,Pattern 1.1 — Basic Array Traversal,405A,Gravity Flip,"greedy, implementation, sortings",15,10,https://codeforces.com/problemset/problem/405/A
Unsolved,KINGDOM 1 — THE KINGDOM OF ARRAYS,Pattern 1.1 — Basic Array Traversal,467A,George and Accommodation,implementation,15,10,https://codeforces.com/problemset/problem/467/A
Unsolved,KINGDOM 1 — THE KINGDOM OF ARRAYS,Pattern 1.1 — Basic Array Traversal,469A,I Wanna Be the Guy,"greedy, implementation",15,10,https://codeforces.com/problemset/problem/469/A
Unsolved,KINGDOM 1 — THE KINGDOM OF ARRAYS,Pattern 1.1 — Basic Array Traversal,479A,Expression,"brute force, math",15,10,https://codeforces.com/problemset/problem/479/A
Unsolved,KINGDOM 1 — THE KINGDOM OF ARRAYS,Pattern 1.1 — Basic Array Traversal,490A,Team Olympiad,"greedy, implementation, sortings",15,10,https://codeforces.com/problemset/problem/490/A
Unsolved,KINGDOM 1 — THE KINGDOM OF ARRAYS,Pattern 1.1 — Basic Array Traversal,501A,Contest,implementation,15,10,https://codeforces.com/problemset/problem/501/A
Unsolved,KINGDOM 1 — THE KINGDOM OF ARRAYS,Pattern 1.1 — Basic Array Traversal,509A,Maximum in Table,"brute force, implementation",15,10,https://codeforces.com/problemset/problem/509/A
Unsolved,KINGDOM 1 — THE KINGDOM OF ARRAYS,Pattern 1.1 — Basic Array Traversal,510A,Fox And Snake,implementation,15,10,https://codeforces.com/problemset/problem/510/A
Unsolved,KINGDOM 1 — THE KINGDOM OF ARRAYS,Pattern 1.1 — Basic Array Traversal,581A,Vasya the Hipster,"implementation, math",15,10,https://codeforces.com/problemset/problem/581/A
Unsolved,KINGDOM 1 — THE KINGDOM OF ARRAYS,Pattern 1.1 — Basic Array Traversal,677A,Vanya and Fence,implementation,15,10,https://codeforces.com/problemset/problem/677/A
Unsolved,KINGDOM 1 — THE KINGDOM OF ARRAYS,Pattern 1.1 — Basic Array Traversal,705A,Hulk,implementation,15,10,https://codeforces.com/problemset/problem/705/A
Unsolved,KINGDOM 1 — THE KINGDOM OF ARRAYS,Pattern 1.1 — Basic Array Traversal,723A,The New Year: Meeting Friends,"implementation, math, sortings",15,10,https://codeforces.com/problemset/problem/723/A
Unsolved,KINGDOM 1 — THE KINGDOM OF ARRAYS,Pattern 1.1 — Basic Array Traversal,731A,Night at the Museum,"implementation, strings",15,10,https://codeforces.com/problemset/problem/731/A
Unsolved,KINGDOM 1 — THE KINGDOM OF ARRAYS,Pattern 1.1 — Basic Array Traversal,734A,Anton and Danik,"implementation, strings",15,10,https://codeforces.com/problemset/problem/734/A
Unsolved,KINGDOM 1 — THE KINGDOM OF ARRAYS,Pattern 1.1 — Basic Array Traversal,746A,Compote,"implementation, math",15,10,https://codeforces.com/problemset/problem/746/A
Unsolved,KINGDOM 1 — THE KINGDOM OF ARRAYS,Pattern 1.1 — Basic Array Traversal,750A,New Year and Hurry,"binary search, brute force, implementation, math",15,10,https://codeforces.com/problemset/problem/750/A
Unsolved,KINGDOM 1 — THE KINGDOM OF ARRAYS,Pattern 1.1 — Basic Array Traversal,758A,Holiday Of Equality,"implementation, math",15,10,https://codeforces.com/problemset/problem/758/A
Unsolved,KINGDOM 1 — THE KINGDOM OF ARRAYS,Pattern 1.1 — Basic Array Traversal,785A,Anton and Polyhedrons,"implementation, strings",15,10,https://codeforces.com/problemset/problem/785/A
Unsolved,KINGDOM 1 — THE KINGDOM OF ARRAYS,Pattern 1.1 — Basic Array Traversal,791A,Bear and Big Brother,implementation,15,10,https://codeforces.com/problemset/problem/791/A
Unsolved,KINGDOM 1 — THE KINGDOM OF ARRAYS,Pattern 1.1 — Basic Array Traversal,935A,Fafa and his Company,"brute force, implementation",15,10,https://codeforces.com/problemset/problem/935/A
Unsolved,KINGDOM 1 — THE KINGDOM OF ARRAYS,Pattern 1.1 — Basic Array Traversal,996A,Hit the Lottery,"dp, greedy",15,10,https://codeforces.com/problemset/problem/996/A
