missing_type,section,practice_path,problem_code,problem_name,official_url,lesson
missing_metadata,Beginner DSA,Practice Strings,WCC,World Chess Championship,https://www.codechef.com/problems/WCC,Strings - Strings basic
missing_metadata,Beginner DSA,Practice Strings,DDMMORMMDD,DDMM or MMDD,https://www.codechef.com/problems/DDMMORMMDD,Strings - Strings basic
missing_rating,Beginner DSA,Practice Strings,LARGODDSTRIN,Largest Odd Substring,https://www.codechef.com/problems/LARGODDSTRIN,Strings - Strings basic
missing_metadata,Beginner DSA,Practice Strings,TITLECASE,Convert String to Title Case,https://www.codechef.com/problems/TITLECASE,Strings - Strings basic
missing_metadata,Beginner DSA,Practice Strings,ALPHABET,Studying Alphabet,https://www.codechef.com/problems/ALPHABET,Strings - Strings basic
missing_metadata,Beginner DSA,Practice Strings,ON_OFF,N Buttons 1 Bulb,https://www.codechef.com/problems/ON_OFF,Strings - Strings basic
missing_metadata,Beginner DSA,Practice Strings,PLAYPIAN,Play Piano,https://www.codechef.com/problems/PLAYPIAN,Strings - Strings basic
missing_metadata,Beginner DSA,Practice Strings,ERROR,Chef and Feedback,https://www.codechef.com/problems/ERROR,Strings - Strings basic
missing_metadata,Beginner DSA,Practice Arrays,SEARCHINARR,Search an element in an array,https://www.codechef.com/problems/SEARCHINARR,Arrays - Basic arrays
missing_metadata,Beginner DSA,Practice Arrays,UWCOI20A,Find maximum in an Array,https://www.codechef.com/problems/UWCOI20A,Arrays - Basic arrays
missing_metadata,Beginner DSA,Practice Arrays,OPMIN,MIN To MAX,https://www.codechef.com/problems/OPMIN,Arrays - Basic arrays
missing_metadata,Beginner DSA,Practice Arrays,RATINGINPRAC,Difficulty Rating Order,https://www.codechef.com/problems/RATINGINPRAC,Arrays - Basic arrays
missing_metadata,Beginner DSA,Practice Arrays,SQUIDRULE,The Squid Game,https://www.codechef.com/problems/SQUIDRULE,Arrays - Basic arrays
missing_rating,Beginner DSA,Practice Arrays,MAXCONSECU,Chef and Consecutive Ones,https://www.codechef.com/problems/MAXCONSECU,Arrays - Basic arrays
missing_metadata,Beginner DSA,Practice Arrays,MAXCONSECU,Chef and Consecutive Ones,https://www.codechef.com/problems/MAXCONSECU,Arrays - Basic arrays
missing_metadata,Beginner DSA,Practice Arrays,SNAPCHAT,Snapchat,https://www.codechef.com/problems/SNAPCHAT,Arrays - Additional practice
missing_metadata,Beginner DSA,Practice Arrays,DISCOUNTT,Take discount or Not,https://www.codechef.com/problems/DISCOUNTT,Arrays - Additional practice
missing_metadata,Beginner DSA,Practice Arrays,RUNCOMPARE,Running Comparison,https://www.codechef.com/problems/RUNCOMPARE,Arrays - Additional practice
missing_rating,Beginner DSA,Practice Arrays,SMLSUM,Sum of Smaller Elements,https://www.codechef.com/problems/SMLSUM,Arrays - Additional practice
missing_metadata,Beginner DSA,Practice Arrays,SMLSUM,Sum of Smaller Elements,https://www.codechef.com/problems/SMLSUM,Arrays - Additional practice
missing_metadata,Beginner DSA,Practice Arrays,CHEFWORK,Workers,https://www.codechef.com/problems/CHEFWORK,Arrays - Additional practice
missing_metadata,Beginner DSA,Practice Arrays,COPS,Cops and the Thief Devu,https://www.codechef.com/problems/COPS,Arrays - Additional practice
missing_metadata,Beginner DSA,Practice Arrays,PEAKINARRAY,Find the peak elements in an array,https://www.codechef.com/problems/PEAKINARRAY,Arrays - Additional practice
missing_rating,Beginner DSA,Practice Arrays,MISSINPERM,Missing number in permutation,https://www.codechef.com/problems/MISSINPERM,Arrays - Additional practice
missing_metadata,Beginner DSA,Practice Arrays,MISSINPERM,Missing number in permutation,https://www.codechef.com/problems/MISSINPERM,Arrays - Additional practice
missing_rating,Beginner DSA,Practice Arrays,SINGLENUM,Single number in multiple numbers,https://www.codechef.com/problems/SINGLENUM,Arrays - Additional practice
missing_metadata,Beginner DSA,Practice Arrays,SINGLENUM,Single number in multiple numbers,https://www.codechef.com/problems/SINGLENUM,Arrays - Additional practice
missing_rating,Beginner DSA,Practice Arrays,PREP01,Array - Pascals or Khayyams triangle,https://www.codechef.com/problems/PREP01,Arrays - Additional practice
missing_metadata,Beginner DSA,Practice Arrays,PREP01,Array - Pascals or Khayyams triangle,https://www.codechef.com/problems/PREP01,Arrays - Additional practice
missing_rating,Beginner DSA,Practice Arrays,PREFPRO1,Creating Prefix Array,https://www.codechef.com/problems/PREFPRO1,Arrays - Prefix sums
missing_metadata,Beginner DSA,Practice Arrays,PREFPRO1,Creating Prefix Array,https://www.codechef.com/problems/PREFPRO1,Arrays - Prefix sums
missing_rating,Beginner DSA,Practice Arrays,PREFPRO2,Optimization Using Prefix Array,https://www.codechef.com/problems/PREFPRO2,Arrays - Prefix sums
missing_metadata,Beginner DSA,Practice Arrays,PREFPRO2,Optimization Using Prefix Array,https://www.codechef.com/problems/PREFPRO2,Arrays - Prefix sums
missing_metadata,Beginner DSA,Practice Arrays,PREFPRO5,Suffix Arrays,https://www.codechef.com/problems/PREFPRO5,Arrays - Prefix sums
