Section,Practice Path,Description,Lesson,Problem Order,Problem Name,Problem Code,Difficulty Rating,Difficulty Label,Official URL,Estimated Time,Tags,Companies,Certificate,Status
Beginner DSA,Practice Strings,Solve these beginner level questions on Strings and prepare yourself for handling text based data.,Strings - Strings basic,1,World Chess Championship,WCC,935,Easy,https://www.codechef.com/problems/WCC,,,,No,Unattempted
Beginner DSA,Practice Strings,Solve these beginner level questions on Strings and prepare yourself for handling text based data.,Strings - Strings basic,2,DDMM or MMDD,DDMMORMMDD,992,Easy,https://www.codechef.com/problems/DDMMORMMDD,,,,No,Unattempted
Beginner DSA,Practice Strings,Solve these beginner level questions on Strings and prepare yourself for handling text based data.,Strings - Strings basic,3,Largest Odd Substring,LARGODDSTRIN,,Easy,https://www.codechef.com/problems/LARGODDSTRIN,,mayank_pardhi,,No,Unattempted
Beginner DSA,Practice Strings,Solve these beginner level questions on Strings and prepare yourself for handling text based data.,Strings - Strings basic,4,Convert String to Title Case,TITLECASE,900,Easy,https://www.codechef.com/problems/TITLECASE,,,,No,Unattempted
Beginner DSA,Practice Strings,Solve these beginner level questions on Strings and prepare yourself for handling text based data.,Strings - Strings basic,5,Studying Alphabet,ALPHABET,1123,Easy,https://www.codechef.com/problems/ALPHABET,,,,No,Unattempted
Beginner DSA,Practice Strings,Solve these beginner level questions on Strings and prepare yourself for handling text based data.,Strings - Strings basic,6,Malvika is peculiar about color of balloons,CHN09,988,Easy,https://www.codechef.com/problems/CHN09,,"Algorithms, Brute Force, Implementation",,No,Unattempted
Beginner DSA,Practice Strings,Solve these beginner level questions on Strings and prepare yourself for handling text based data.,Strings - Strings basic,7,N Buttons 1 Bulb,ON_OFF,977,Easy,https://www.codechef.com/problems/ON_OFF,,,,No,Unattempted
Beginner DSA,Practice Strings,Solve these beginner level questions on Strings and prepare yourself for handling text based data.,Strings - Strings basic,8,Play Piano,PLAYPIAN,980,Easy,https://www.codechef.com/problems/PLAYPIAN,,,,No,Unattempted
Beginner DSA,Practice Strings,Solve these beginner level questions on Strings and prepare yourself for handling text based data.,Strings - Strings basic,9,Chef and Feedback,ERROR,1199,Easy,https://www.codechef.com/problems/ERROR,,,,No,Unattempted
Beginner DSA,Practice Arrays,Solve Arrays coding problems to start learning data structures and algorithms.,Arrays - Basic arrays,1,Search an element in an array,SEARCHINARR,600,Easy,https://www.codechef.com/problems/SEARCHINARR,,,,No,Unattempted
Beginner DSA,Practice Arrays,Solve Arrays coding problems to start learning data structures and algorithms.,Arrays - Basic arrays,2,Find maximum in an Array,UWCOI20A,650,Easy,https://www.codechef.com/problems/UWCOI20A,,,,No,Unattempted
Beginner DSA,Practice Arrays,Solve Arrays coding problems to start learning data structures and algorithms.,Arrays - Basic arrays,3,Largest and Second Largest,LARGESECOND,928,Easy,https://www.codechef.com/problems/LARGESECOND,,"Arrays using C++, Basic Programming Concepts, CPP, Loops",,No,Unattempted
Beginner DSA,Practice Arrays,Solve Arrays coding problems to start learning data structures and algorithms.,Arrays - Basic arrays,4,MIN To MAX,OPMIN,838,Easy,https://www.codechef.com/problems/OPMIN,,,,No,Unattempted
Beginner DSA,Practice Arrays,Solve Arrays coding problems to start learning data structures and algorithms.,Arrays - Basic arrays,5,Copy and Paste,NCOPIES,1745,Medium,https://www.codechef.com/problems/NCOPIES,,"Algorithms, Basic Math, Binary Search, Data Structures, Mathematics, Prefix Sum, Searching, Simple Algos, String, Suffix Sum",,No,Unattempted
Beginner DSA,Practice Arrays,Solve Arrays coding problems to start learning data structures and algorithms.,Arrays - Basic arrays,6,"Red Light, Green Light",DOLL,984,Easy,https://www.codechef.com/problems/DOLL,,"1D Arrays, Algorithms, Arrays, Constructive, Data Structures, Observation, ad-hoc",,No,Unattempted
Beginner DSA,Practice Arrays,Solve Arrays coding problems to start learning data structures and algorithms.,Arrays - Basic arrays,7,Compress the Video,COMPRESSVD,940,Easy,https://www.codechef.com/problems/COMPRESSVD,,"Data Structures, String",,No,Unattempted
Beginner DSA,Practice Arrays,Solve Arrays coding problems to start learning data structures and algorithms.,Arrays - Basic arrays,8,Difficulty Rating Order,RATINGINPRAC,930,Easy,https://www.codechef.com/problems/RATINGINPRAC,,,,No,Unattempted
Beginner DSA,Practice Arrays,Solve Arrays coding problems to start learning data structures and algorithms.,Arrays - Basic arrays,9,The Squid Game,SQUIDRULE,970,Easy,https://www.codechef.com/problems/SQUIDRULE,,,,No,Unattempted
Beginner DSA,Practice Arrays,Solve Arrays coding problems to start learning data structures and algorithms.,Arrays - Basic arrays,10,Chef and Consecutive Ones,MAXCONSECU,,Easy,https://www.codechef.com/problems/MAXCONSECU,,,,No,Unattempted
Beginner DSA,Practice Arrays,Solve Arrays coding problems to start learning data structures and algorithms.,Arrays - Basic arrays,11,CodeChef Streak,CS2023_STK,1009,Easy,https://www.codechef.com/problems/CS2023_STK,,"Algorithms, Basic Programming Concepts, Implementation, Loops",,No,Unattempted
Beginner DSA,Practice Arrays,Solve Arrays coding problems to start learning data structures and algorithms.,Arrays - Additional practice,12,Snapchat,SNAPCHAT,965,Easy,https://www.codechef.com/problems/SNAPCHAT,,,,No,Unattempted
Beginner DSA,Practice Arrays,Solve Arrays coding problems to start learning data structures and algorithms.,Arrays - Additional practice,13,Cost of Groceries,KITCHENCOST,799,Easy,https://www.codechef.com/problems/KITCHENCOST,,Basic Programming Concepts,,No,Unattempted
